MyUnknownColumn,Date,Open,High,Low,Close,Volume
182,"20220405  09:15:00",903.55,909.7,901.85,905.5,54400
183,"20220405  09:30:00",905.85,906.9,902.25,906.9,85000
184,"20220405  10:30:00",906.9,908.25,901.2,902.15,44200
185,"20220405  11:30:00",903.5,912.35,902.95,910.7,80750
186,"20220405  12:30:00",911.6,913.65,910.75,911.8,53550
187,"20220405  13:30:00",911.15,913.8,909.15,912.4,73950
188,"20220405  14:30:00",911.05,914.7,907.45,907.7,115600
189,"20220406  09:15:00",905.15,909.45,901.7,906.75,34850
190,"20220406  09:30:00",906.55,907.35,895.95,900.4,101150
191,"20220406  10:30:00",899,905.25,896.3,902.65,53550
192,"20220406  11:30:00",902.9,902.9,898.25,902.05,31450
193,"20220406  12:30:00",900.9,900.9,894.45,894.45,29750
194,"20220406  13:30:00",894.45,898.15,894.45,896.15,40800
195,"20220406  14:30:00",897.1,903.05,894.95,900.7,102000
196,"20220407  09:15:00",890.9,901.35,890.9,899.5,24650
197,"20220407  09:30:00",899.45,899.95,893.65,893.65,34000
198,"20220407  10:30:00",895.15,895.2,888.35,893.05,65450
199,"20220407  11:30:00",893.95,897.8,892.95,896.75,32300
200,"20220407  12:30:00",896.2,901.7,896.2,896.3,105400
201,"20220407  13:30:00",896.2,896.2,888.45,889.85,65450
202,"20220407  14:30:00",890.45,896.35,888.9,893.35,63750
203,"20220408  09:15:00",894.45,899.05,893.5,894.6,34000
204,"20220408  09:30:00",894.5,900.75,894.5,897.95,63750
205,"20220408  10:30:00",899.1,902.65,894.45,895.65,52700
206,"20220408  11:30:00",895.35,905.05,893.8,898.5,89250
207,"20220408  12:30:00",898.35,899.5,896.35,898.15,22100
208,"20220408  13:30:00",898.95,903.3,898.95,899.9,57800
209,"20220408  14:30:00",900.25,901.65,897.3,898.4,72250
210,"20220411  09:15:00",896.05,899.8,895.35,896.3,22950
211,"20220411  09:30:00",896.3,896.6,889.75,889.85,79050
212,"20220411  10:30:00",889.85,890.7,880.6,881.55,82450
213,"20220411  11:30:00",880.6,888.9,880.6,883.7,38250
214,"20220411  12:30:00",883.75,893.4,883.35,893.4,34000
215,"20220411  13:30:00",893.5,896.25,892.8,894,34850
216,"20220411  14:30:00",893.15,894.05,885.85,889.2,58650
217,"20220412  09:15:00",889.75,889.9,882.45,885.75,43350
218,"20220412  09:30:00",884,884,868.7,869.25,117300
219,"20220412  10:30:00",869.5,880.6,869.5,879.7,26350
220,"20220412  11:30:00",878.7,881.55,877.8,878.6,24650
221,"20220412  12:30:00",878,880.2,874,875.75,31450
222,"20220412  13:30:00",875.75,882.35,874.95,882.3,50150
223,"20220412  14:30:00",882,885.05,879.75,881.55,53550
224,"20220413  09:15:00",885.15,891.65,885.15,890.75,19550
225,"20220413  09:30:00",890.75,893.7,887.95,888.1,56100
226,"20220413  10:30:00",887.9,893.6,887.9,893.05,17850
227,"20220413  11:30:00",893.85,897.1,887.05,887.05,51850
228,"20220413  12:30:00",886.25,889.15,884.05,885.2,33150
229,"20220413  13:30:00",884.7,887.5,881.05,887.5,39100
230,"20220413  14:30:00",885.2,885.2,881.2,882,48450
231,"20220418  09:15:00",868.15,877.7,866.75,877.7,34850
232,"20220418  09:30:00",876,879.7,861.85,863.95,79900
233,"20220418  10:30:00",863.8,867.05,860.8,864.45,37400
234,"20220418  11:30:00",864,866.2,861.3,861.45,22100
235,"20220418  12:30:00",862.15,864,857.55,863.85,46750
236,"20220418  13:30:00",864.05,874.1,864.05,873.4,36550
237,"20220418  14:30:00",872.8,876,867.7,868.5,141950
238,"20220419  09:15:00",862.3,878.25,862.3,875.3,21250
239,"20220419  09:30:00",875.3,875.55,872.25,872.6,34000
240,"20220419  10:30:00",873.3,878.25,873.3,878.25,22950
241,"20220419  11:30:00",877.85,882.45,877.4,882.2,39100
242,"20220419  12:30:00",880.4,882.25,878.05,881.55,30600
243,"20220419  13:30:00",881.35,881.55,875.05,876.95,27200
244,"20220419  14:30:00",876.3,880.05,853.75,854.25,199750
245,"20220420  09:15:00",863.1,874,860,874,28900
246,"20220420  09:30:00",874.9,877.45,868.65,873.75,54400
247,"20220420  10:30:00",873.75,874.25,869,869.9,36550
248,"20220420  11:30:00",868.9,871.4,863.05,868.1,47600
249,"20220420  12:30:00",868.2,872.15,866.65,870.55,39950
250,"20220420  13:30:00",870.45,871.5,861.3,863.1,81600
251,"20220420  14:30:00",864.5,869.9,862.15,865.9,60350
252,"20220421  09:15:00",873,876.85,873,876.15,17000
253,"20220421  09:30:00",875.05,876.3,870.55,874.3,45050
254,"20220421  10:30:00",873.4,877.85,873.4,875.75,31450
255,"20220421  11:30:00",875.65,880.05,875.5,878.75,21250
256,"20220421  12:30:00",878.65,880,877.75,877.85,23800
257,"20220421  13:30:00",877.85,879.55,874.2,875.05,51000
258,"20220421  14:30:00",875.75,875.75,869.75,872,74800
259,"20220422  09:15:00",870.3,874,868.7,869.05,14450
260,"20220422  09:30:00",867.3,868.8,864.2,865.95,25500
261,"20220422  10:30:00",865.95,867.15,863.65,863.65,13600
262,"20220422  11:30:00",862.7,863.65,858.7,861.95,25500
263,"20220422  12:30:00",861.95,862.65,860.05,861.35,20400
264,"20220422  13:30:00",861.2,861.2,855.35,857.3,17850
265,"20220422  14:30:00",857.2,857.2,850.4,851.7,42500
266,"20220425  09:15:00",843.4,843.4,835.95,837.35,30600
267,"20220425  09:30:00",837.35,841.4,829,839.8,68850
268,"20220425  10:30:00",838.6,839.6,828.2,829.2,56100
269,"20220425  11:30:00",829.2,829.2,824.25,824.25,51850
270,"20220425  12:30:00",823.95,825.7,822.6,822.65,53550
271,"20220425  13:30:00",822.65,825.2,821.95,823.2,53550
272,"20220425  14:30:00",823.15,823.4,817.35,819.9,73100
273,"20220426  09:15:00",888.05,888.05,828.55,829.4,34850
274,"20220426  09:30:00",830.4,833.5,829.75,831.5,65450
275,"20220426  10:30:00",830.9,836.9,830.9,835.1,62900
276,"20220426  11:30:00",835.4,835.4,832.7,833.2,25500
277,"20220426  12:30:00",833.9,835.05,830.5,834.95,43350
